,HighRisk
AgeCategory,-0.20051101971600363
ECigaretteUsage,0.1553221590446443
MentalHealthDays,0.1159418834765334
HIVTesting,0.09218406653808635
HadDepressiveDisorder,0.08625422085478818
DifficultyConcentrating,0.08137593636948774
AlcoholDrinkers,0.07458147092163957
FluVaxLast12,-0.06380250941474139
HadArthritis,-0.06317018574308109
SmokerStatus,-0.05742569951262926
Sex,0.05341939193356806
CovidPos,0.050654316595433256
HeightInMeters,0.049645863960840884
LastCheckupTime,-0.049236849949348606
SleepHours,-0.04286558595641023
HadSkinCancer,-0.03888656383691616
HadDiabetes,-0.03730312336335759
RemovedTeeth,0.035340147205798755
DifficultyWalking,-0.03321403833842572
HadAsthma,0.03195084040831478
ChestScan,-0.02547296307062506
HadAngina,-0.023833835861017318
DifficultyErrands,0.023455355670474003
PhysicalActivities,0.021103173488537765
HadKidneyDisease,-0.018751269458311372
DeafOrHardOfHearing,-0.017904638775104037
HadHeartAttack,-0.01759188352626409
PneumoVaxEver,-0.012822106669116479
WeightInKilograms,0.011920752574674011
BMI,-0.011902459260096534
State,-0.011703207768931877
HadStroke,-0.010359059580339858
BlindOrVisionDifficulty,0.009017934730147233
HadCOPD,-0.008184746060436898
GeneralHealth,-0.006973496878105979
PhysicalHealthDays,0.004556536548963541
DifficultyDressingBathing,0.0036596399108674645
TetanusLast10Tdap,0.0007399517169940067
